	taxon	sample_id	tolerance	reaction	flux	abundance	metabolite	direction
870	Marinobacter	oilspill	1e-06	EX_tyr__L_e	-0.01262196328787013	0.1	tyr__L_e	import
882	Marinobacter	oilspill	1e-06	EX_gthrd_e	-100.0	0.1	gthrd_e	import
883	Marinobacter	oilspill	1e-06	EX_phe__L_e	-0.016957765479219233	0.1	phe__L_e	import
885	Marinobacter	oilspill	1e-06	EX_gly_e	-100.0	0.1	gly_e	import
888	Marinobacter	oilspill	1e-06	EX_thym_e	0.004838407056013239	0.1	thym_e	export
889	Marinobacter	oilspill	1e-06	EX_glcn_e	100.0	0.1	glcn_e	export
891	Marinobacter	oilspill	1e-06	EX_asn__L_e	-0.0220643627105801	0.1	asn__L_e	import
898	Marinobacter	oilspill	1e-06	EX_icit_e	68.87234577980826	0.1	icit_e	export
905	Marinobacter	oilspill	1e-06	EX_glu__L_e	-100.0	0.1	glu__L_e	import
909	Marinobacter	oilspill	1e-06	EX_his__L_e	-0.008671604382698206	0.1	his__L_e	import
914	Marinobacter	oilspill	1e-06	EX_mal__L_e	-79.69701156596159	0.1	mal__L_e	import
918	Marinobacter	oilspill	1e-06	EX_o2_e	-3.2221665973816016	0.1	o2_e	import
919	Marinobacter	oilspill	1e-06	EX_cgly_e	-72.58541184661311	0.1	cgly_e	import
920	Marinobacter	oilspill	1e-06	EX_pro__L_e	-0.020233713048886527	0.1	pro__L_e	import
933	Marinobacter	oilspill	1e-06	EX_4abz_e	-6.123523121459584e-05	0.1	4abz_e	import
935	Marinobacter	oilspill	1e-06	EX_k_e	-0.01786649997127654	0.1	k_e	import
941	Marinobacter	oilspill	1e-06	EX_coa_e	-5.2722711529895605e-05	0.1	coa_e	import
943	Marinobacter	oilspill	1e-06	EX_ser__D_e	-24.86244696250111	0.1	ser__D_e	import
945	Marinobacter	oilspill	1e-06	EX_5dglcn_e	-100.0	0.1	5dglcn_e	import
946	Marinobacter	oilspill	1e-06	EX_asp__L_e	-100.0	0.1	asp__L_e	import
951	Marinobacter	oilspill	1e-06	EX_cu2_e	-6.489652389518596e-05	0.1	cu2_e	import
960	Marinobacter	oilspill	1e-06	EX_nh4_e	172.34774452840566	0.1	nh4_e	export
962	Marinobacter	oilspill	1e-06	EX_thm_e	-2.0411743733461662e-05	0.1	thm_e	import
966	Marinobacter	oilspill	1e-06	EX_h2o_e	206.76232801281412	0.1	h2o_e	export
972	Marinobacter	oilspill	1e-06	EX_h2_e	-100.0	0.1	h2_e	import
973	Marinobacter	oilspill	1e-06	EX_gthox_e	86.29270592330656	0.1	gthox_e	export
976	Marinobacter	oilspill	1e-06	EX_thr__L_e	-0.023220601036996413	0.1	thr__L_e	import
977	Marinobacter	oilspill	1e-06	EX_pi_e	-0.02375705766326064	0.1	pi_e	import
983	Marinobacter	oilspill	1e-06	EX_co2_e	-100.0	0.1	co2_e	import
984	Marinobacter	oilspill	1e-06	EX_man1p_e	-0.0663443150498324	0.1	man1p_e	import
985	Marinobacter	oilspill	1e-06	EX_arg__L_e	-0.027074576237396286	0.1	arg__L_e	import
986	Marinobacter	oilspill	1e-06	EX_glyb_e	-0.014067261195805258	0.1	glyb_e	import
987	Marinobacter	oilspill	1e-06	EX_so4_e	-0.0003970679116349629	0.1	so4_e	import
993	Marinobacter	oilspill	1e-06	EX_zn2_e	-3.121257673280538e-05	0.1	zn2_e	import
